text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
@laRadioNova #balancetonporc !,FALSE,0,laRadioNova,2017-10-24 08:38:29,FALSE,922743469948506113,922744090265030656,270466816,<a href="http://www.echofon.com/" rel="nofollow">Echofon</a>,lelabtv,0,FALSE,FALSE,NA,NA
#balancetonporc
Accus√© de #harcelementsexuel, #Lassalle se d√©fend en √©voquant ses cauchemars https://t.co/VYOffIjim0,FALSE,0,NA,2017-10-24 08:37:42,FALSE,NA,922743894571474944,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,DanielBrobecker,0,FALSE,FALSE,NA,NA
Et l'Oscar de la meilleure pompe √† friqu√©s est attribu√© √†... Ì†ºÌæ•Ì†ºÌæû
--
#weinsteinscandal #weinstein #weinsteingate‚Ä¶ https://t.co/BSJpM2XBhp,FALSE,0,NA,2017-10-24 08:36:48,TRUE,NA,922743666376105984,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,NicolasPaillous,0,FALSE,FALSE,NA,NA
#balancetonporc
Agress√©e sexuellement √† trois reprises, #JulietteBinoche se confie sur le monde du #cin√©ma  https://t.co/VWX5AWnovB,FALSE,0,NA,2017-10-24 08:35:59,FALSE,NA,922743461115252736,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,DanielBrobecker,0,FALSE,FALSE,NA,NA
Et l'Oscar de la meilleure pompe √† friqu√©s est attribu√© √†... Ì†ºÌæ•Ì†ºÌæû
--
#weinsteinscandal #weinstein #weinsteingate‚Ä¶ https://t.co/4lxKIqeGzs,FALSE,0,NA,2017-10-24 08:34:59,TRUE,NA,922743207926095872,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,DessinsPaillou,1,FALSE,FALSE,NA,NA
