text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
#balancetonporc  https://t.co/34JTnhJxaP https://t.co/wJS64msKGu,FALSE,0,NA,2017-12-02 23:58:44,FALSE,NA,937108804751233024,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,FacilaShenter,0,FALSE,FALSE,NA,NA
@Pingoopathe Non mais c'est parce que #balancetonporc en fait...,FALSE,1,Pingoopathe,2017-12-02 23:58:12,FALSE,936954108019396608,937108672341331974,2974832175,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,cest_pasfaux,0,FALSE,FALSE,NA,NA
@DelhomAdrian vient de me rôter dessus #balancetonporc,FALSE,0,DelhomAdrian,2017-12-02 23:43:16,FALSE,NA,937104914446241792,827538895,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,ManonBlanchou,1,FALSE,FALSE,NA,NA
En Suisse c'est le Parti démocrate chrétien qui fait scandale, en draguant au propre et au figuré l'extrême droite… https://t.co/h6fOFmS9Ld,FALSE,1,NA,2017-12-02 23:41:02,TRUE,NA,937104352669585408,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,titemure,0,FALSE,FALSE,NA,NA
@BelattarYassine @FBoudjahlat Encore une inconnu au cheveux hrach en manque de notoriété et à la recherche de buzz… https://t.co/pGGl4AgrAq,FALSE,2,BelattarYassine,2017-12-02 23:39:36,TRUE,937037162620612618,937103990008971265,2326871577,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,ahmedgzll,1,FALSE,FALSE,NA,NA
Eliot (@eliot_nvr) il fait crari il baise pas alors qu'aujourdhui je l'ai vu avec 3 meufs différentes #balancetonporc,FALSE,2,NA,2017-12-02 23:31:00,FALSE,NA,937101824229863425,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,DonMarsaudon,1,FALSE,FALSE,NA,NA
Channing Tatum arrête la production d'un film en collaboration avec la Weinstein Company #MeToo #BalanceTonPorc… https://t.co/xxPqkVchNV,FALSE,0,NA,2017-12-02 23:27:04,TRUE,NA,937100836043476993,NA,<a href="http://bufferapp.com" rel="nofollow">Buffer</a>,FadUrban,0,FALSE,FALSE,NA,NA
@levraimcfly gros dégueulasse va, pervers #balancetonporc,FALSE,5,levraimcfly,2017-12-02 23:26:22,FALSE,937093694431289344,937100658821525504,28351525,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,SamDesGouttes,0,FALSE,FALSE,NA,NA
@92Piotr #Balancetonporc,FALSE,0,92Piotr,2017-12-02 23:22:38,FALSE,937099534559268869,937099718991187968,458261610,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,Fhimaxratpidu92,0,FALSE,FALSE,NA,NA
@franceculture Il n’a pas eu peur d’envoyer des bombes sur des enfants syriens #balancetonporc,FALSE,0,franceculture,2017-12-02 23:22:30,FALSE,937083762202030080,937099685290037254,36383320,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,DomiAmbrogi,0,FALSE,FALSE,NA,NA
#balancetonporc @max_alex_bouyar m'a tripoté l'oreille alors que je lui avais ouvertement dit que je ne le voulais pas,FALSE,4,NA,2017-12-02 23:22:10,FALSE,NA,937099603270361088,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,MaitreKebabiste,3,FALSE,FALSE,NA,NA
#balancetonporc @Lil_RoXaNe @Rekey1825  #1825Army @KSD_1825 https://t.co/fRlRAEi4dX,FALSE,0,NA,2017-12-02 23:19:07,FALSE,NA,937098836870352896,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,Pleurez,0,FALSE,FALSE,NA,NA
J'appelle un fils de pute un fils de pute. #ONPC... #balancetonporc #redevance,FALSE,1,NA,2017-12-02 23:15:50,FALSE,NA,937098008692514817,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,leonleherisson,0,FALSE,FALSE,NA,NA
@gernelle @annesophiejahn bravo pour votre enquête, mais tout de même, les infos étaient déjà dans @voiciil y a qua… https://t.co/VpfDF432tW,FALSE,18,gernelle,2017-12-02 22:55:05,TRUE,NA,937092785576005632,60383276,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,RandySandie,25,FALSE,FALSE,NA,NA
Traduction de l'article du New Yorker: "Comment le scandale Tariq Ramadan a fait dérailler le mouvement… https://t.co/fcfHnllUb3,FALSE,1,NA,2017-12-02 22:46:09,TRUE,NA,937090540390273024,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,gridindriing,1,FALSE,FALSE,NA,NA
"How the Tariq Ramadan Scandal Derailed the #Balancetonporc Movement in France" https://t.co/OrNczkZRu3,FALSE,0,NA,2017-12-02 22:40:36,FALSE,NA,937089143733075968,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,helen_kap,0,FALSE,FALSE,NA,NA
En directe de GladioSytem, notre radio locale sur engouement en channel salade d'attente, avec les excellents chron… https://t.co/HtbB07odFm,FALSE,1,NA,2017-12-02 22:32:05,TRUE,NA,937086998678003713,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,AyanoDeGauche64,0,FALSE,FALSE,NA,NA
@valkyriesdofus @Louna_Dofus jui innocent, c'est Félicien le concerné #BalanceTonPorc,FALSE,1,valkyriesdofus,2017-12-02 22:29:55,FALSE,937075576489332741,937086452688740358,928964596135755781,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,Inhale_PdG,0,FALSE,FALSE,NA,NA
#balancetonporc https://t.co/q4CMCsZOIz,FALSE,4,NA,2017-12-02 22:21:36,FALSE,NA,937084361937178624,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,ooeooeeooeooee,0,FALSE,FALSE,NA,NA
Mon Patron a réitéré "Tanguy j'ai faillis pas vous reconnaître sans votre touffe Jackson Five" Putain mais arrête d… https://t.co/2FzMQ7Ff2K,FALSE,1,NA,2017-12-02 22:20:09,TRUE,NA,937083995363389440,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,Tanguignol,0,FALSE,FALSE,NA,NA
#balancetonporc

Quand on voit les nanas ce soir dans les années 80
On se demande si ce sont les mêmes qui balancen… https://t.co/70ARAerIC7,FALSE,0,NA,2017-12-02 22:07:24,TRUE,NA,937080785588445185,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,lefuret91,0,FALSE,FALSE,NA,NA
#balancetonporc 
#michaelmoore https://t.co/tdMSZaJuFI,FALSE,3,NA,2017-12-02 22:04:40,FALSE,NA,937080099022700544,NA,<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>,FrancDissident,6,FALSE,FALSE,NA,NA
#balancetonporc https://t.co/cjnnMqj8PO,FALSE,0,NA,2017-12-02 21:53:50,FALSE,NA,937077371383025665,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,VariouXe,0,FALSE,FALSE,NA,NA
Ah bah tiens, #balancetonporc

������

#Stars80,FALSE,13,NA,2017-12-02 21:51:49,FALSE,NA,937076863733764097,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,Jeremiiah14,1,FALSE,FALSE,NA,NA
En 2017, Patrick Coutin se prendrait-il un #balancetonporc sur Twitter ? #jaimeregarderlesfilles #Stars80,FALSE,2,NA,2017-12-02 21:50:23,FALSE,NA,937076506219745280,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,kevboucher,0,FALSE,FALSE,NA,NA
#Stars80 

⚠⚠⚠ Y'en a un qui mate les filles sur la plage ⚠⚠⚠

#Balancetonporc,FALSE,12,NA,2017-12-02 21:48:26,FALSE,NA,937076014164971520,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,Jean_Dorsans,5,FALSE,FALSE,NA,NA
'' J'aime regarder les filles qui marchent sur la plage ''

Le bonhomme n'a pas peur du #balancetonporc

������

#Stars80,FALSE,5,NA,2017-12-02 21:47:37,FALSE,NA,937075808069455874,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,Jeremiiah14,0,FALSE,FALSE,NA,NA
