text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
Mérité ! Génial ! #MeToo #balancetonporc #metoo https://t.co/ZSnFqk7Wxs,FALSE,0,NA,2017-12-06 13:15:15,FALSE,NA,938396419974680576,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,francoisedegois,0,FALSE,FALSE,NA,NA
#balancetonporc #metoo #TIMEPOY https://t.co/SbIXmGtBPM,FALSE,0,NA,2017-12-06 13:13:35,FALSE,NA,938395998300368898,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,LettreAudio,0,FALSE,FALSE,NA,NA
#balancetonporc personnalité de l'année pour @TIME https://t.co/62yTEGdW5M,FALSE,0,NA,2017-12-06 13:11:52,FALSE,NA,938395566165450753,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,domesway,0,FALSE,FALSE,NA,NA
Enquête suspendue dans l'affaire #JohnnyHallyday accusé de #viol par marie christine Vo #balancetonporc… https://t.co/MTYgONhhgB,FALSE,0,NA,2017-12-06 13:09:04,TRUE,NA,938394861304152067,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,ManjuyGerard,0,FALSE,FALSE,NA,NA
Espero que ahora si los abusadores y abusadoras se la piensen antes de usar su poder malsanamente
#MeToo… https://t.co/oUNJW1TbL4,FALSE,0,NA,2017-12-06 13:07:23,TRUE,NA,938394438090612737,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,AraBonita_,0,FALSE,FALSE,NA,NA
Adeline Blondieau accuse Johnny Hallyday de viol en plein tribunal #johnnyhallyday #balancetonporc https://t.co/0RRyenlNsO via @LaParisienne,FALSE,0,NA,2017-12-06 13:06:07,FALSE,NA,938394122238427143,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,ManjuyGerard,0,FALSE,FALSE,NA,NA
J'ai la chair de poule ! #balancetonporc #metoo https://t.co/TG1xHpcQbd,FALSE,2,NA,2017-12-06 13:05:54,FALSE,NA,938394067175649280,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,AssiaBenziane,2,FALSE,FALSE,NA,NA
La personnalité de l'année 2017 pour Time Magazine : Celles qui ont brisé le silence 
#BalanceTonPorc… https://t.co/bqd18csRCf,FALSE,4,NA,2017-12-06 13:04:33,TRUE,NA,938393724219985920,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,fabrandanne,2,FALSE,FALSE,NA,NA
